Unnamed: 0,duration,original_sr,suspicious_diff,min amplitude,max amplitude,max_magnitude1,max_magnitude2,max_magnitude3,min_magnitude1,min_magnitude2,min_magnitude3,RTP_ssrc,RTP_payload_length,RTP_payload_type,Flushed_packets,isMalicious,Lost_packets_count,Lost_packets_precentage
18,142.6746485260771,8000.0,True,-0.5600795745849609,0.7630093097686768,397.6509399414063,391.7825622558594,379.649169921875,1.7475722258186718e-11,2.1077330852881104e-11,2.169114887706769e-11,826145948,160,0 (ITU-T G.711 PCMU),7135,False,0,0.0
19,133.27251700680273,8000.0,True,-1.1648980379104614,0.6799969673156738,89.63882446289062,88.85575103759766,83.24407958984375,1.35433775739352e-12,2.7179254940418174e-12,2.94473408331275e-12,662183139,160,0 (ITU-T G.711 PCMU),6688,False,0,0.0
20,130.51179138321996,8000.0,True,-0.5071390271186829,0.7612280249595642,305.4028625488281,301.8998718261719,301.6690673828125,3.365174111591429e-11,3.909114351663412e-11,7.299750387490532e-11,1187544324,160,0 (ITU-T G.711 PCMU),6527,False,0,0.0
21,2.360544217687075,8000.0,False,-0.4768762290477752,0.6124908924102783,317.4331970214844,314.4564819335937,297.8348999023437,6.919070649757941e-09,1.9253846517131024e-08,2.3545808858216333e-08,2058626660,4,0 (ITU-T G.711 PCMU),119,False,0,0.0
22,62.84,8000.0,True,-0.1560969203710556,0.141799122095108,64.04193115234375,50.491477966308594,50.11582946777344,1.4924263214144418e-11,5.291770147075603e-11,7.03932398482543e-11,1592826347,160,0 (ITU-T G.711 PCMU),3142,False,19,0.6
23,2.360544217687075,8000.0,False,-0.4768762290477752,0.6124908924102783,317.4331970214844,314.4564819335937,297.8348999023437,6.919070649757941e-09,1.9253846517131024e-08,2.3545808858216333e-08,369691884,4,0 (ITU-T G.711 PCMU),119,False,0,0.0
24,1.26,8000.0,False,-0.4768762290477752,0.6124908924102783,317.4331970214844,314.4564819335937,299.6944885253906,2.5430372474488653e-08,2.8228161141896635e-08,2.847003521821989e-08,578231429,160,0 (ITU-T G.711 PCMU),63,False,0,0.0
25,66.82,8000.0,True,-0.3451472818851471,0.3579570353031158,122.29732513427734,121.61699676513672,119.74988555908205,2.791856372821866e-12,3.086454919767889e-12,4.604686857506701e-12,3033683862,160,0 (ITU-T G.711 PCMU),3341,False,0,0.0
26,66.58,8000.0,True,-0.3451472818851471,0.3579570353031158,122.29732513427734,121.61699676513672,119.74988555908205,2.791856372821866e-12,3.086454919767889e-12,4.604686857506701e-12,940687147,160,0 (ITU-T G.711 PCMU),3329,False,0,0.0
27,91.68,8000.0,True,-0.3276256620883941,0.4484408795833587,240.4987030029297,236.88394165039065,217.4957275390625,3.0375701953744287e-12,8.625101501069654e-12,1.0736905288466492e-11,1415756389,160,0 (ITU-T G.711 PCMU),4584,False,0,0.0
28,91.52,8000.0,True,-0.2110060304403305,0.300906240940094,171.20851135253906,167.70118713378906,166.45045471191406,4.181745227871403e-11,4.2321150056645607e-11,5.718758799844181e-11,2651698916,160,0 (ITU-T G.711 PCMU),4576,False,0,0.0
29,91.48,8000.0,True,-0.3276256620883941,0.4484408795833587,240.4987030029297,236.88394165039065,217.4957275390625,3.0375701953744287e-12,8.625101501069654e-12,1.0736905288466492e-11,533257055,160,0 (ITU-T G.711 PCMU),4574,False,0,0.0
