Unnamed: 0,duration,original_sr,suspicious_diff,min amplitude,max amplitude,max_magnitude1,max_magnitude2,max_magnitude3,min_magnitude1,min_magnitude2,min_magnitude3,RTP_ssrc,RTP_payload_length,Flushed_packets,isMalicious,Lost_packets_count,Lost_packets_precentage
49,91.52,8000,TRUE,-0.21100603,0.300906241,171.2085114,167.7011871,166.4504547,4.18E-11,4.23E-11,5.72E-11,2651698916,160,4576,FALSE,0,0
50,91.48,8000,TRUE,-0.327625662,0.44844088,240.498703,236.8839417,217.4957275,3.04E-12,8.63E-12,1.07E-11,533257055,160,4574,FALSE,0,0
51,145.56,8000,TRUE,-0.148366198,0.30340299,97.98680878,93.97772217,93.67488098,3.05E-11,3.41E-11,3.49E-11,261674904,160,7278,FALSE,0,0
52,147.14,8000,TRUE,-1.096057653,1.047568917,440.0532837,422.5820618,407.8406372,3.42E-12,5.74E-12,1.04E-11,838004571,160,7357,FALSE,0,0
53,133.272517,8000,TRUE,-1.164898038,0.679996967,89.63882446,88.85575104,83.24407959,1.35E-12,2.72E-12,2.94E-12,662183139,160,6688,FALSE,0,0
54,130.5117914,8000,TRUE,-0.507139027,0.761228025,305.4028625,301.8998718,301.6690674,3.37E-11,3.91E-11,7.30E-11,1187544324,160,6527,FALSE,0,0
55,162.4,8000,TRUE,-1.157694697,0.113677144,278.6459351,278.0650635,276.3529663,2.11E-11,2.17E-11,2.35E-11,0,160,8120,FALSE,0,0
56,1.26,8000,FALSE,-0.476876229,0.612490892,317.433197,314.4564819,299.6944885,2.54E-08,2.82E-08,2.85E-08,578231429,160,63,FALSE,0,0
57,62.84,8000,TRUE,-0.15609692,0.141799122,64.04193115,50.49147797,50.11582947,1.49E-11,5.29E-11,7.04E-11,1592826347,160,3142,FALSE,19,0.6
58,66.82,8000,TRUE,-0.345147282,0.357957035,122.2973251,121.6169968,119.7498856,2.79E-12,3.09E-12,4.60E-12,3033683862,160,3341,FALSE,0,0
59,245.02,8000,TRUE,-0.205616787,0.203100964,86.92464447,80.57649994,79.13547516,4.74E-12,5.39E-12,1.60E-11,404681085,160,12251,FALSE,46,0.37
60,248.24,8000,TRUE,-0.725660264,0.648393333,288.697113,285.1927185,284.079895,2.17E-13,8.14E-13,1.23E-12,2147903196,160,12412,FALSE,0,0
61,199.9,8000,TRUE,-1.157694697,0.113683075,278.6459351,278.0650635,276.3529663,2.11E-11,2.17E-11,2.35E-11,0,160,9995,FALSE,0,0
62,160.672517,8000,TRUE,-1.164951563,0.679957926,185.4884491,174.3157196,166.6893921,7.92E-13,8.32E-13,9.37E-13,3440537676,160,8058,FALSE,0,0
63,143.8146485,8000,TRUE,-0.560079575,0.76300931,455.5908508,434.4364624,398.8557739,4.67E-11,6.68E-11,7.89E-11,1597601948,160,7192,FALSE,0,0
64,2.360544218,8000,FALSE,-0.476876229,0.612490892,317.433197,314.4564819,297.8348999,6.92E-09,1.93E-08,2.35E-08,369691884,4,119,FALSE,0,0
65,68.3,8000,TRUE,-0.081338219,0.075981043,46.41126251,46.34569931,43.97006607,6.15E-12,2.77E-11,3.71E-11,2036244256,160,3415,FALSE,0,0
66,248.18,8000,TRUE,-0.672113717,0.606991112,303.0695496,302.0768433,292.1781616,1.07E-12,2.66E-12,4.09E-12,2838924102,160,12409,FALSE,0,0
67,248,8000,TRUE,-0.672113717,0.606991112,303.0695496,302.0768433,292.1781616,1.07E-12,2.66E-12,4.09E-12,1045760585,160,12400,FALSE,0,0
68,34.4,8000,TRUE,-0.184545621,0.266988516,114.2810287,107.1500092,94.06200409,1.86E-11,2.59E-11,2.63E-11,4025040651,160,1720,FALSE,0,0
69,34.1,8000,TRUE,-0.091767251,0.068040714,40.07689285,38.68678284,37.92498398,1.43E-11,2.43E-11,5.32E-11,911336346,160,1705,FALSE,0,0
70,34.08,8000,TRUE,-0.091767251,0.068040714,40.07689285,38.68678284,37.92498398,1.43E-11,2.43E-11,5.32E-11,1497718774,160,1704,FALSE,0,0
71,34.18,8000,TRUE,-0.184545621,0.266988516,114.2810287,107.1500092,94.06200409,1.86E-11,2.59E-11,2.63E-11,597296322,160,1709,FALSE,0,0
72,147.56,8000,TRUE,-0.441301942,0.529470325,160.9374084,145.0187836,131.7758026,6.64E-12,6.83E-12,8.53E-12,2026403498,160,7378,FALSE,0,0
73,148,8000,TRUE,-0.226966649,0.241439879,130.911911,117.976738,114.1221924,1.77E-11,2.07E-11,4.09E-11,785611295,160,7400,FALSE,0,0
74,147.12,8000,TRUE,-0.441301942,0.529470325,160.9374084,145.0187836,131.7758026,6.64E-12,6.83E-12,8.53E-12,157388863,160,7356,FALSE,0,0
75,147.34,8000,TRUE,-0.226966649,0.241439879,130.911911,117.976738,114.1221924,2.07E-11,3.03E-11,3.05E-11,966715045,160,7367,FALSE,12,0.16
76,67.86,8000,TRUE,-0.081338219,0.075981043,46.60248184,46.34444046,43.64120483,2.25E-11,3.25E-11,4.94E-11,1184881481,160,3393,FALSE,0,0
77,134.6900227,8000,TRUE,-1.170683265,0.691022038,187.7667084,168.4823456,165.2200165,3.08E-13,9.00E-13,2.70E-12,4223393007,160,6754,FALSE,0,0
78,2.387755102,8000,FALSE,-0.371932298,0.658168316,301.6690674,259.138916,240.4564209,1.36E-09,1.77E-09,4.99E-09,2133258545,62,120,FALSE,0,0
79,124.4346485,8000,TRUE,-0.560079575,0.76300931,404.2268982,398.1477051,378.299408,4.43E-11,5.02E-11,5.48E-11,2037201661,160,6223,FALSE,0,0
